Nykaa_Product_ID,Nykaa_Product_Name,Competitor_Rank,Competitor_Product_ID,Competitor_Product_Name,Similarity_Score
7,Nykaa All Day Matte Foundation (30 ml),3,9058,NY Bae -  3-in-1 Primer Foundation Serum (30 ml),0.6791
8,Nykaa At Home Mani Pedi Sicilian Sweet Pea Shower Gel + Body Scrub+ Body Lotion Combo,1,9091,Bath & Body Works - Travel Size Fine Fragrance Mist Duo (80 ml),0.5825
8,Nykaa At Home Mani Pedi Sicilian Sweet Pea Shower Gel + Body Scrub+ Body Lotion Combo,2,9093,RENEE -  Bath & Body Care Set,0.5809
8,Nykaa At Home Mani Pedi Sicilian Sweet Pea Shower Gel + Body Scrub+ Body Lotion Combo,3,9092,L'Occitane - Hand Cream Trio Set (Pack of 3) (35 ml),0.54
9,Nykaa Black Magic Mascara (9 ml),1,9065,SUGAR POP -  Volumizing Mascara Black (9 ml),0.8099
9,Nykaa Black Magic Mascara (9 ml),2,9069,Essence -  Lash Princess False Lash Effect Mascara(12 ml),0.7522
9,Nykaa Black Magic Mascara (9 ml),3,9068,Blue Heaven  - Walkfree Mascara (12 ml),0.7352
10,Nykaa BlendPro Blush Makeup Brush,1,9073,Vega -  Blush Brush,0.7505
10,Nykaa BlendPro Blush Makeup Brush,2,9074,Swiss Beauty -  Pro Blush & Highlight Palette (18gm),0.7119
10,Nykaa BlendPro Blush Makeup Brush,3,9072,Insight Cosmetics - Blush Stick (6.5 gm),0.6924
11,Nykaa Cosmetics Superlight Volumizing Peptide Mascara (9ml),1,9065,SUGAR POP -  Volumizing Mascara Black (9 ml),0.736
11,Nykaa Cosmetics Superlight Volumizing Peptide Mascara (9ml),2,9069,Essence -  Lash Princess False Lash Effect Mascara(12 ml),0.7059
11,Nykaa Cosmetics Superlight Volumizing Peptide Mascara (9ml),3,9066,Jaquline USA - Lash Perfect Volumizing Mascara (9 ml),0.6984
12,Nykaa Cosmetics Wanderlust Sun Protection SPF 50 Body Lotion (50 gm),1,9020,Aqualogica Glow+ Dewy Sunscreen SPF 50 PA++++ (50 gm),0.7793
12,Nykaa Cosmetics Wanderlust Sun Protection SPF 50 Body Lotion (50 gm),2,9023,Neutrogena Ultra Sheer Dry Touch Sunblock SPF 50+ PA++++( 30 ml),0.7645
12,Nykaa Cosmetics Wanderlust Sun Protection SPF 50 Body Lotion (50 gm),3,9024,Good Vibes Wide Spectrum Protection Sunscreen With SPF 50 (50 g),0.723
13,Nykaa Curl Power Curling Mascara (8 gm),1,9069,Essence -  Lash Princess False Lash Effect Mascara(12 ml),0.6926
13,Nykaa Curl Power Curling Mascara (8 gm),2,9066,Jaquline USA - Lash Perfect Volumizing Mascara (9 ml),0.6869
13,Nykaa Curl Power Curling Mascara (8 gm),3,9065,SUGAR POP -  Volumizing Mascara Black (9 ml),0.6629
14,Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette (12 gm),1,9061,SUGAR Cosmetics - Blend The Rules Eyeshadow Palette (10 gm),0.7439
14,Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette (12 gm),2,9062,Maybelline New York - The Nudes Eyeshadow Palette (9 gm),0.7294
14,Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette (12 gm),3,9060,Lakme -  9 to 5 Eye Color Quartet Eye Shadow (7gm),0.7071
15,Nykaa Eyes On Me! 4-in-1 Quad Eyeshadow Palette (5 gm),1,9061,SUGAR Cosmetics - Blend The Rules Eyeshadow Palette (10 gm),0.7128
15,Nykaa Eyes On Me! 4-in-1 Quad Eyeshadow Palette (5 gm),2,9060,Lakme -  9 to 5 Eye Color Quartet Eye Shadow (7gm),0.7061
15,Nykaa Eyes On Me! 4-in-1 Quad Eyeshadow Palette (5 gm),3,9062,Maybelline New York - The Nudes Eyeshadow Palette (9 gm),0.6929
16,Nykaa Get Cheeky! Matte Blush Duo (9gm) ,1,9074,Swiss Beauty -  Pro Blush & Highlight Palette (18gm),0.6335
16,Nykaa Get Cheeky! Matte Blush Duo (9gm) ,2,9050,Mamaearth - Creamy Matte Long Stay Lipstick (4.2 gm),0.6037
16,Nykaa Get Cheeky! Matte Blush Duo (9gm) ,3,9071,SUGAR -  Contour De Force Mini Blush (4 gm),0.6012
17,Nykaa Get Set Matte! Demi Matte Lip Cream (5 ml),1,9051,Maybelline - SuperStay Matte Ink Liquid Lipstick (5 ml),0.7203
17,Nykaa Get Set Matte! Demi Matte Lip Cream (5 ml),2,9054,L'Oréal Paris -  Color Riche Matte Lipstick (2 gm),0.7129
17,Nykaa Get Set Matte! Demi Matte Lip Cream (5 ml),3,9052,Lakmé -  Absolute Matte Ultimate Lip Color with Argan Oil (3.5 ml),0.7027
18,Nykaa Glamoreyes Liquid Eyeliner (5 ml),1,9063,Lakmé - Absolute Shine Line Liquid Eyeliner (4.5 ml),0.7783
18,Nykaa Glamoreyes Liquid Eyeliner (5 ml),2,9065,SUGAR POP -  Volumizing Mascara Black (9 ml),0.6845
18,Nykaa Glamoreyes Liquid Eyeliner (5 ml),3,9061,SUGAR Cosmetics - Blend The Rules Eyeshadow Palette (10 gm),0.6583
19,Nykaa Glow All Day Illuminating Strobe Cream + Highlighter + MoisturizerÂ (30 gm),1,9008,Lakme Lumi Lit Strobe Cream Highlighter + Moisturizer + Primer (30 gm),0.7827
19,Nykaa Glow All Day Illuminating Strobe Cream + Highlighter + MoisturizerÂ (30 gm),2,9020,Aqualogica Glow+ Dewy Sunscreen SPF 50 PA++++ (50 gm),0.6039
19,Nykaa Glow All Day Illuminating Strobe Cream + Highlighter + MoisturizerÂ (30 gm),3,9023,Neutrogena Ultra Sheer Dry Touch Sunblock SPF 50+ PA++++( 30 ml),0.5998
20,Nykaa Lash Talk Super Sizer Volumizing Mascara ( 8 gm ),1,9066,Jaquline USA - Lash Perfect Volumizing Mascara (9 ml),0.7644
20,Nykaa Lash Talk Super Sizer Volumizing Mascara ( 8 gm ),2,9069,Essence -  Lash Princess False Lash Effect Mascara(12 ml),0.7189
20,Nykaa Lash Talk Super Sizer Volumizing Mascara ( 8 gm ),3,9065,SUGAR POP -  Volumizing Mascara Black (9 ml),0.7124
21,Nykaa Love Struck Perfume - Crazy In Love (50 ml),1,9079,All Good Scents – Love & Joy Eau De Parfum (30 ml),0.8353
21,Nykaa Love Struck Perfume - Crazy In Love (50 ml),2,9075,The Body Shop -  Glowing Cherry Blossom Eau De Parfum For Women (50ml),0.7345
21,Nykaa Love Struck Perfume - Crazy In Love (50 ml),3,9076,Plum - BodyLovin’ Vanilla Vibes Eau De Parfum (50 ml),0.7327
22,Nykaa Love Struck Perfume - Love You So Mochi (50 ml) ,1,9079,All Good Scents – Love & Joy Eau De Parfum (30 ml),0.7589
22,Nykaa Love Struck Perfume - Love You So Mochi (50 ml) ,2,9088,Ajmal  - Sacred Love Perfume Oil(10 ml),0.6982
22,Nykaa Love Struck Perfume - Love You So Mochi (50 ml) ,3,9078,Layer'r - Wottagirl Secret Crush Body Splash / EDP ( 135 ml),0.6979
23,Nykaa Love Struck Perfume - Skip A Beat (50 ml),1,9079,All Good Scents – Love & Joy Eau De Parfum (30 ml),0.8102
23,Nykaa Love Struck Perfume - Skip A Beat (50 ml),2,9076,Plum - BodyLovin’ Vanilla Vibes Eau De Parfum (50 ml),0.7313
23,Nykaa Love Struck Perfume - Skip A Beat (50 ml),3,9078,Layer'r - Wottagirl Secret Crush Body Splash / EDP ( 135 ml),0.7167
24,Nykaa Love Struck Perfume - Stay With Me (50 ml),1,9079,All Good Scents – Love & Joy Eau De Parfum (30 ml),0.8105
24,Nykaa Love Struck Perfume - Stay With Me (50 ml),2,9076,Plum - BodyLovin’ Vanilla Vibes Eau De Parfum (50 ml),0.7307
24,Nykaa Love Struck Perfume - Stay With Me (50 ml),3,9086,Arihant Fragrance -  Al Habib Attar Roll-On Perfume(16 ml),0.7225
25,Nykaa Love Struck Perfume - Talk All Night (50 ml),1,9079,All Good Scents – Love & Joy Eau De Parfum (30 ml),0.8079
25,Nykaa Love Struck Perfume - Talk All Night (50 ml),2,9076,Plum - BodyLovin’ Vanilla Vibes Eau De Parfum (50 ml),0.7214
25,Nykaa Love Struck Perfume - Talk All Night (50 ml),3,9075,The Body Shop -  Glowing Cherry Blossom Eau De Parfum For Women (50ml),0.7189
26,Nykaa Love Struck Perfume Gift Set (Pack of 3 - 48ml),1,9092,L'Occitane - Hand Cream Trio Set (Pack of 3) (35 ml),0.76
26,Nykaa Love Struck Perfume Gift Set (Pack of 3 - 48ml),2,9090,Ajmal - Artisan Luxury Fragrance Eau de Parfum Gift Set - Pack of 4 (80 ml),0.7575
26,Nykaa Love Struck Perfume Gift Set (Pack of 3 - 48ml),3,9094,The Body Shop -  British Rose Ultimate Collection,0.7016
27,Nykaa Love Struck Roll On - Crazy In Love (16 ml),1,9086,Arihant Fragrance -  Al Habib Attar Roll-On Perfume(16 ml),0.7803
27,Nykaa Love Struck Roll On - Crazy In Love (16 ml),2,9088,Ajmal  - Sacred Love Perfume Oil(10 ml),0.7691
27,Nykaa Love Struck Roll On - Crazy In Love (16 ml),3,9087,Almas Deed's -  Pocket Liquid Rose Perfume,0.7325
28,Nykaa Love Struck Roll On - Love You So Mochi (16 ml),1,9088,Ajmal  - Sacred Love Perfume Oil(10 ml),0.7352
28,Nykaa Love Struck Roll On - Love You So Mochi (16 ml),2,9086,Arihant Fragrance -  Al Habib Attar Roll-On Perfume(16 ml),0.7297
28,Nykaa Love Struck Roll On - Love You So Mochi (16 ml),3,9089,Arochem  - Zannatul Firdaus Roll-On (6ml),0.6891
29,Nykaa Love Struck Roll On - Skip A Beat (16 ml),1,9086,Arihant Fragrance -  Al Habib Attar Roll-On Perfume(16 ml),0.7671
29,Nykaa Love Struck Roll On - Skip A Beat (16 ml),2,9088,Ajmal  - Sacred Love Perfume Oil(10 ml),0.7422
29,Nykaa Love Struck Roll On - Skip A Beat (16 ml),3,9089,Arochem  - Zannatul Firdaus Roll-On (6ml),0.7383
30,Nykaa Love Struck Roll On - Stay With Me (16 ml),1,9086,Arihant Fragrance -  Al Habib Attar Roll-On Perfume(16 ml),0.7909
30,Nykaa Love Struck Roll On - Stay With Me (16 ml),2,9088,Ajmal  - Sacred Love Perfume Oil(10 ml),0.7518
30,Nykaa Love Struck Roll On - Stay With Me (16 ml),3,9089,Arochem  - Zannatul Firdaus Roll-On (6ml),0.7477
31,Nykaa Love Struck Roll On - Talk All Night (16 ml),1,9086,Arihant Fragrance -  Al Habib Attar Roll-On Perfume(16 ml),0.7725
31,Nykaa Love Struck Roll On - Talk All Night (16 ml),2,9087,Almas Deed's -  Pocket Liquid Rose Perfume,0.7394
31,Nykaa Love Struck Roll On - Talk All Night (16 ml),3,9088,Ajmal  - Sacred Love Perfume Oil(10 ml),0.7327
32,Nykaa Matte To Last! Liquid Lipstick (6.2 ml),1,9051,Maybelline - SuperStay Matte Ink Liquid Lipstick (5 ml),0.7864
32,Nykaa Matte To Last! Liquid Lipstick (6.2 ml),2,9052,Lakmé -  Absolute Matte Ultimate Lip Color with Argan Oil (3.5 ml),0.7187
32,Nykaa Matte To Last! Liquid Lipstick (6.2 ml),3,9050,Mamaearth - Creamy Matte Long Stay Lipstick (4.2 gm),0.7074
33,"Nykaa Naturals Advanced Hair Growth Oil with Rosemary, Curry Leaves, Coconut & Hibiscus Oil(200ml)",1,9035,Dabur Vatika - Rosemary Hair Growth Oil with Hibiscus & Coconut Oil (200ml),0.8478
33,"Nykaa Naturals Advanced Hair Growth Oil with Rosemary, Curry Leaves, Coconut & Hibiscus Oil(200ml)",2,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.7362
33,"Nykaa Naturals Advanced Hair Growth Oil with Rosemary, Curry Leaves, Coconut & Hibiscus Oil(200ml)",3,9038,Mamaearth - Rice Hair Oil with Rice Bran & Coconut Oil (150ml),0.7032
34,Nykaa Naturals Amla & Curry Leaves Conditioner(180ml),1,9032,Khadi Natural - Amla & Bhringraj Hair Conditioner (210 ml),0.7848
34,Nykaa Naturals Amla & Curry Leaves Conditioner(180ml),2,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.7021
34,Nykaa Naturals Amla & Curry Leaves Conditioner(180ml),3,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.6823
35,Nykaa Naturals Amla & Curry Leaves Hair Mask(200ml),1,9042,Khadi Natural  - Amla & Bhringraj Hair Mask (200 ml),0.8149
35,Nykaa Naturals Amla & Curry Leaves Hair Mask(200ml),2,9041,Mamaearth -  Onion Hair Mask with Onion Oil and Organic Bamboo Vinegar (200 ml),0.6728
35,Nykaa Naturals Amla & Curry Leaves Hair Mask(200ml),3,9047,Khadi Natural - Amla Hair Serum (50 ml),0.6689
36,Nykaa Naturals Amla & Curry Leaves Hair Oil(200ml),1,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.8236
36,Nykaa Naturals Amla & Curry Leaves Hair Oil(200ml),2,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.7305
36,Nykaa Naturals Amla & Curry Leaves Hair Oil(200ml),3,9047,Khadi Natural - Amla Hair Serum (50 ml),0.7043
37,Nykaa Naturals Amla & Curry Leaves Shampoo(200ml),1,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.8071
37,Nykaa Naturals Amla & Curry Leaves Shampoo(200ml),2,9047,Khadi Natural - Amla Hair Serum (50 ml),0.718
37,Nykaa Naturals Amla & Curry Leaves Shampoo(200ml),3,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.6893
38,Nykaa Naturals Amla & Curry Leaves Strengthening Serum(50ml),1,9047,Khadi Natural - Amla Hair Serum (50 ml),0.7722
38,Nykaa Naturals Amla & Curry Leaves Strengthening Serum(50ml),2,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.6837
38,Nykaa Naturals Amla & Curry Leaves Strengthening Serum(50ml),3,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.635
39,"Nykaa Naturals Anti-Frizz Sulphate-Free Shampoo With Fermented Rice Water, Bamboo and Argan Oil(200ml)",1,9033,StBotanica - GO Anti-Frizz Hair Rice Water Conditioner (200 ml),0.7044
39,"Nykaa Naturals Anti-Frizz Sulphate-Free Shampoo With Fermented Rice Water, Bamboo and Argan Oil(200ml)",2,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.6904
39,"Nykaa Naturals Anti-Frizz Sulphate-Free Shampoo With Fermented Rice Water, Bamboo and Argan Oil(200ml)",3,9029,Buds & Berries Rice Water and Chia Seeds Nourishing Shampoo (300 ml),0.6684
40,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-Dandruff Serum(50ml),1,9025,StBotanica Apple Cider Vinegar & Organic Argan Oil Hair Shampoo (200 ml),0.6959
40,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-Dandruff Serum(50ml),2,9047,Khadi Natural - Amla Hair Serum (50 ml),0.683
40,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-Dandruff Serum(50ml),3,9039,StBotanica Apple Cider Vinegar & Argan Oil Hair Oil (200ml),0.6571
41,Nykaa Naturals Apple Cider Vinegar & Ginger Conditioner(180ml),1,9030,Wow - Apple Cider Vinegar Conditioner (300ml),0.806
41,Nykaa Naturals Apple Cider Vinegar & Ginger Conditioner(180ml),2,9025,StBotanica Apple Cider Vinegar & Organic Argan Oil Hair Shampoo (200 ml),0.7372
41,Nykaa Naturals Apple Cider Vinegar & Ginger Conditioner(180ml),3,9032,Khadi Natural - Amla & Bhringraj Hair Conditioner (210 ml),0.7138
42,Nykaa Naturals Apple Cider Vinegar & Ginger Hair Mask(200ml),1,9040,WOW - Apple Cider Vinegar Hair Mask with Apple Cider Vinegar & Sweet Almond Oil (200 ml),0.8046
42,Nykaa Naturals Apple Cider Vinegar & Ginger Hair Mask(200ml),2,9041,Mamaearth -  Onion Hair Mask with Onion Oil and Organic Bamboo Vinegar (200 ml),0.7282
42,Nykaa Naturals Apple Cider Vinegar & Ginger Hair Mask(200ml),3,9042,Khadi Natural  - Amla & Bhringraj Hair Mask (200 ml),0.7063
43,Nykaa Naturals Apple Cider Vinegar & Ginger Hair Oil(200ml),1,9039,StBotanica Apple Cider Vinegar & Argan Oil Hair Oil (200ml),0.8147
43,Nykaa Naturals Apple Cider Vinegar & Ginger Hair Oil(200ml),2,9025,StBotanica Apple Cider Vinegar & Organic Argan Oil Hair Shampoo (200 ml),0.7712
43,Nykaa Naturals Apple Cider Vinegar & Ginger Hair Oil(200ml),3,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.7436
44,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo(200ml),1,9025,StBotanica Apple Cider Vinegar & Organic Argan Oil Hair Shampoo (200 ml),0.8066
44,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo(200ml),2,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.7337
44,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo(200ml),3,9030,Wow - Apple Cider Vinegar Conditioner (300ml),0.728
45,Nykaa Naturals Charcoal & Bamboo Sheet Mask(20 ml),1,9015,Reema & Luna Charcoal Face Sheet Mask (25ml),0.7519
45,Nykaa Naturals Charcoal & Bamboo Sheet Mask(20 ml),2,9016,Mamaearth Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration(25 gm),0.7096
45,Nykaa Naturals Charcoal & Bamboo Sheet Mask(20 ml),3,9017,Mirabelle Papaya Fairness Facial Mask (25 ml),0.6955
46,Nykaa Naturals Daily Defense Sunscreen SPF 45 PA+++ (50 gm),1,9023,Neutrogena Ultra Sheer Dry Touch Sunblock SPF 50+ PA++++( 30 ml),0.8002
46,Nykaa Naturals Daily Defense Sunscreen SPF 45 PA+++ (50 gm),2,9020,Aqualogica Glow+ Dewy Sunscreen SPF 50 PA++++ (50 gm),0.7769
46,Nykaa Naturals Daily Defense Sunscreen SPF 45 PA+++ (50 gm),3,9022,Foxtale SPF 50 Vitamin C Glow Sunscreen with PA++++ & Niacinamide(50 ml),0.7544
47,Nykaa Naturals Fermented Rice Water & Bamboo Conditioner(180ml),1,9033,StBotanica - GO Anti-Frizz Hair Rice Water Conditioner (200 ml),0.676
47,Nykaa Naturals Fermented Rice Water & Bamboo Conditioner(180ml),2,9048,WishCare -  Fermented Rice Water Hair Serum (30 ml),0.6755
47,Nykaa Naturals Fermented Rice Water & Bamboo Conditioner(180ml),3,9032,Khadi Natural - Amla & Bhringraj Hair Conditioner (210 ml),0.6496
48,Nykaa Naturals Fermented Rice Water & Bamboo Hair Mask(200ml),1,9043,WishCare Fermented Rice Water Hair Mask- Strength & Growth Formula (200 ml),0.7588
48,Nykaa Naturals Fermented Rice Water & Bamboo Hair Mask(200ml),2,9048,WishCare -  Fermented Rice Water Hair Serum (30 ml),0.7056
48,Nykaa Naturals Fermented Rice Water & Bamboo Hair Mask(200ml),3,9041,Mamaearth -  Onion Hair Mask with Onion Oil and Organic Bamboo Vinegar (200 ml),0.6784
49,Nykaa Naturals Fermented Rice Water & Bamboo Hair Oil(200ml),1,9038,Mamaearth - Rice Hair Oil with Rice Bran & Coconut Oil (150ml),0.7755
49,Nykaa Naturals Fermented Rice Water & Bamboo Hair Oil(200ml),2,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.7701
49,Nykaa Naturals Fermented Rice Water & Bamboo Hair Oil(200ml),3,9048,WishCare -  Fermented Rice Water Hair Serum (30 ml),0.7094
50,Nykaa Naturals Fermented Rice Water & Bamboo Repair Serum(50ml),1,9048,WishCare -  Fermented Rice Water Hair Serum (30 ml),0.7669
50,Nykaa Naturals Fermented Rice Water & Bamboo Repair Serum(50ml),2,9049,"Dusky Monk - Hair  Serum, With  Reetha, Shikakai (30 ml)",0.6619
50,Nykaa Naturals Fermented Rice Water & Bamboo Repair Serum(50ml),3,9047,Khadi Natural - Amla Hair Serum (50 ml),0.6586
51,Nykaa Naturals Gooseberry & Papaya Sheet Mask(20 ml),1,9017,Mirabelle Papaya Fairness Facial Mask (25 ml),0.7501
51,Nykaa Naturals Gooseberry & Papaya Sheet Mask(20 ml),2,9015,Reema & Luna Charcoal Face Sheet Mask (25ml),0.671
51,Nykaa Naturals Gooseberry & Papaya Sheet Mask(20 ml),3,9016,Mamaearth Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration(25 gm),0.6528
52,Nykaa Naturals Honey & Saffron Radiance Boosting Face Wash(100ml),1,9001,Mars  Honey & Saffron Radiance Boosting Face Wash(120 ml),0.8978
52,Nykaa Naturals Honey & Saffron Radiance Boosting Face Wash(100ml),2,9000,Aroma Magic Neem & Tea Tree Face Wash(100ml),0.7102
52,Nykaa Naturals Honey & Saffron Radiance Boosting Face Wash(100ml),3,9011,RAS Luxury Oils Radiance Beauty-Boosting Face Elixir(15 ml),0.6968
53,Nykaa Naturals Lemon & Honey Sheet Mask(20 ml),1,9017,Mirabelle Papaya Fairness Facial Mask (25 ml),0.7217
53,Nykaa Naturals Lemon & Honey Sheet Mask(20 ml),2,9015,Reema & Luna Charcoal Face Sheet Mask (25ml),0.6954
53,Nykaa Naturals Lemon & Honey Sheet Mask(20 ml),3,9018,Garnier Skin Naturals Light Complete Serum Mask(28 gm),0.6928
54,Nykaa Naturals Onion & Fenugreek Conditioner(180ml),1,9034,SESA - Onion Conditioner with Reetha & Shikakai (300 ml),0.7846
54,Nykaa Naturals Onion & Fenugreek Conditioner(180ml),2,9031,Mamaearth Onion Conditioner with Onion & Coconut (250 ml),0.7747
54,Nykaa Naturals Onion & Fenugreek Conditioner(180ml),3,9032,Khadi Natural - Amla & Bhringraj Hair Conditioner (210 ml),0.688
55,Nykaa Naturals Onion & Fenugreek Hair Growth Serum(50ml),1,9045,Mamaearth - Onion Scalp Serum for Healthy Hair Growth (50 ml),0.7572
55,Nykaa Naturals Onion & Fenugreek Hair Growth Serum(50ml),2,9047,Khadi Natural - Amla Hair Serum (50 ml),0.6928
55,Nykaa Naturals Onion & Fenugreek Hair Growth Serum(50ml),3,9036,VLCC - Onion & Fenugreek Hair Oil (200ml),0.6503
56,Nykaa Naturals Onion & Fenugreek Hair Mask(200ml),1,9041,Mamaearth -  Onion Hair Mask with Onion Oil and Organic Bamboo Vinegar (200 ml),0.7628
56,Nykaa Naturals Onion & Fenugreek Hair Mask(200ml),2,9042,Khadi Natural  - Amla & Bhringraj Hair Mask (200 ml),0.7066
56,Nykaa Naturals Onion & Fenugreek Hair Mask(200ml),3,9036,VLCC - Onion & Fenugreek Hair Oil (200ml),0.6365
57,Nykaa Naturals Onion & Fenugreek Hair Oil(200ml),1,9036,VLCC - Onion & Fenugreek Hair Oil (200ml),0.7893
57,Nykaa Naturals Onion & Fenugreek Hair Oil(200ml),2,9037,Khadi Natural - Amla & Brahmi Hair Oil (210ml),0.7336
57,Nykaa Naturals Onion & Fenugreek Hair Oil(200ml),3,9035,Dabur Vatika - Rosemary Hair Growth Oil with Hibiscus & Coconut Oil (200ml),0.6983
58,Nykaa Naturals Onion & Fenugreek Shampoo(200ml),1,9026,WOW Skin Science Onion Shampoo with Black Seed Oil Extracts (250 ml),0.7027
58,Nykaa Naturals Onion & Fenugreek Shampoo(200ml),2,9036,VLCC - Onion & Fenugreek Hair Oil (200ml),0.679
58,Nykaa Naturals Onion & Fenugreek Shampoo(200ml),3,9027,Khadi Natural Amla & Bhringraj Hair Cleanser(210 ml),0.6748
59,Nykaa Naturals Pomegranate & Aloe Vera Sheet Mask(20 ml),1,9019,The Face Shop Real Nature Pomegranate Face Mask(20g),0.7501
59,Nykaa Naturals Pomegranate & Aloe Vera Sheet Mask(20 ml),2,9015,Reema & Luna Charcoal Face Sheet Mask (25ml),0.6469
59,Nykaa Naturals Pomegranate & Aloe Vera Sheet Mask(20 ml),3,9017,Mirabelle Papaya Fairness Facial Mask (25 ml),0.6454
60,Nykaa Naturals Reetha & Shikakai Conditioner(180ml),1,9032,Khadi Natural - Amla & Bhringraj Hair Conditioner (210 ml),0.8105
60,Nykaa Naturals Reetha & Shikakai Conditioner(180ml),2,9034,SESA - Onion Conditioner with Reetha & Shikakai (300 ml),0.7774
60,Nykaa Naturals Reetha & Shikakai Conditioner(180ml),3,9049,"Dusky Monk - Hair  Serum, With  Reetha, Shikakai (30 ml)",0.7031
61,Nykaa Naturals Reetha & Shikakai Hair Mask(200ml),1,9042,Khadi Natural  - Amla & Bhringraj Hair Mask (200 ml),0.812
61,Nykaa Naturals Reetha & Shikakai Hair Mask(200ml),2,9044,Indus Valley - Deep Nourishing Hair Ultima Spa with Reetha & Shikakai (175 ml),0.7584
